Name,Sex,Date,StateChange
Betty,Female,6/24/21,2
Bugs,Male,6/24/21,6
Carmen,Female,6/24/21,14
Chip,Male,6/24/21,6
Dale,Male,6/24/21,0
Dot,Female,6/24/21,6
Elsa,Female,6/24/21,6
Felix,Male,6/24/21,2
Fiona,Female,6/24/21,4
Grouch,Male,6/24/21,2
Hubert,Male,6/24/21,6
Marlo,Female,6/24/21,6
Satan,Male,6/24/21,10
Ziggy,Male,6/24/21,2
Alvin,Male,6/25/21,5
April,Female,6/25/21,7
Betty,Female,6/25/21,12
Bugs,Male,6/25/21,3
Carmen,Female,6/25/21,8
Chip,Male,6/25/21,4
Dale,Male,6/25/21,1
Dot,Female,6/25/21,8
Elsa,Female,6/25/21,3
Felix,Male,6/25/21,6
Fiona,Female,6/25/21,6
Grouch,Male,6/25/21,12
Hubert,Male,6/25/21,6
Marlo,Female,6/25/21,8
Satan,Male,6/25/21,12
Ziggy,Male,6/25/21,2
Alvin,Male,6/26/21,15
April,Female,6/26/21,2
Betty,Female,6/26/21,6
Bugs,Male,6/26/21,4
Carmen,Female,6/26/21,8
Chip,Male,6/26/21,6
Dale,Male,6/26/21,4
Dot,Female,6/26/21,8
Elsa,Female,6/26/21,6
Felix,Male,6/26/21,11
Fiona,Female,6/26/21,5
Grouch,Male,6/26/21,8
Hubert,Male,6/26/21,1
Marlo,Female,6/26/21,3
Satan,Male,6/26/21,1
Ziggy,Male,6/26/21,7
Alvin,Male,6/27/21,8
April,Female,6/27/21,2
Betty,Female,6/27/21,18
Bugs,Male,6/27/21,12
Carmen,Female,6/27/21,4
Chip,Male,6/27/21,12
Dale,Male,6/27/21,0
Dot,Female,6/27/21,2
Elsa,Female,6/27/21,8
Felix,Male,6/27/21,9
Fiona,Female,6/27/21,9
Grouch,Male,6/27/21,5
Hubert,Male,6/27/21,0
Marlo,Female,6/27/21,5
Satan,Male,6/27/21,1
Ziggy,Male,6/27/21,5
Alvin,Male,6/28/21,14
April,Female,6/28/21,10
Betty,Female,6/28/21,5
Bugs,Male,6/28/21,3
Carmen,Female,6/28/21,8
Chip,Male,6/28/21,8
Dale,Male,6/28/21,4
Dot,Female,6/28/21,6
Elsa,Female,6/28/21,4
Felix,Male,6/28/21,7
Fiona,Female,6/28/21,11
Grouch,Male,6/28/21,14
Hubert,Male,6/28/21,1
Marlo,Female,6/28/21,11
Satan,Male,6/28/21,1
Ziggy,Male,6/28/21,5
Alvin,Male,6/29/21,12
April,Female,6/29/21,10
Betty,Female,6/29/21,8
Bugs,Male,6/29/21,18
Carmen,Female,6/29/21,6
Chip,Male,6/29/21,12
Dale,Male,6/29/21,2
Dot,Female,6/29/21,11
Elsa,Female,6/29/21,11
Felix,Male,6/29/21,11
Fiona,Female,6/29/21,7
Grouch,Male,6/29/21,4
Hubert,Male,6/29/21,1
Marlo,Female,6/29/21,7
Satan,Male,6/29/21,11
Ziggy,Male,6/29/21,11
Alvin,Male,6/30/21,10
April,Female,6/30/21,2
Betty,Female,6/30/21,6
Bugs,Male,6/30/21,6
Carmen,Female,6/30/21,2
Chip,Male,6/30/21,6
Dale,Male,6/30/21,4
Dot,Female,6/30/21,8
Elsa,Female,6/30/21,0
Felix,Male,6/30/21,2
Fiona,Female,6/30/21,8
Grouch,Male,6/30/21,10
Hubert,Male,6/30/21,3
Marlo,Female,6/30/21,9
Satan,Male,6/30/21,20
Ziggy,Male,6/30/21,4
Alvin,Male,7/1/21,10
April,Female,7/1/21,6
Betty,Female,7/1/21,4
Bugs,Male,7/1/21,4
Carmen,Female,7/1/21,10
Chip,Male,7/1/21,12
Dale,Male,7/1/21,4
Dot,Female,7/1/21,12
Elsa,Female,7/1/21,2
Felix,Male,7/1/21,10
Fiona,Female,7/1/21,22
Grouch,Male,7/1/21,4
Hubert,Male,7/1/21,34
Marlo,Female,7/1/21,8
Satan,Male,7/1/21,14
Ziggy,Male,7/1/21,6
Alvin,Male,7/2/21,16
April,Female,7/2/21,4
Betty,Female,7/2/21,6
Bugs,Male,7/2/21,12
Carmen,Female,7/2/21,12
Chip,Male,7/2/21,2
Dale,Male,7/2/21,2
Dot,Female,7/2/21,8
Elsa,Female,7/2/21,2
Felix,Male,7/2/21,8
Fiona,Female,7/2/21,6
Grouch,Male,7/2/21,10
Hubert,Male,7/2/21,10
Marlo,Female,7/2/21,4
Satan,Male,7/2/21,10
Ziggy,Male,7/2/21,8
Alvin,Male,7/3/21,7
April,Female,7/3/21,5
Betty,Female,7/3/21,8
Bugs,Male,7/3/21,12
Carmen,Female,7/3/21,10
Chip,Male,7/3/21,12
Dale,Male,7/3/21,0
Dot,Female,7/3/21,4
Elsa,Female,7/3/21,6
Felix,Male,7/3/21,10
Fiona,Female,7/3/21,14
Grouch,Male,7/3/21,4
Hubert,Male,7/3/21,14
Marlo,Female,7/3/21,5
Satan,Male,7/3/21,31
Ziggy,Male,7/3/21,6
Alvin,Male,7/4/21,10
April,Female,7/4/21,10
Betty,Female,7/4/21,6
Bugs,Male,7/4/21,4
Carmen,Female,7/4/21,16
Chip,Male,7/4/21,10
Dale,Male,7/4/21,0
Dot,Female,7/4/21,6
Elsa,Female,7/4/21,4
Felix,Male,7/4/21,12
Fiona,Female,7/4/21,16
Grouch,Male,7/4/21,4
Hubert,Male,7/4/21,6
Marlo,Female,7/4/21,8
Satan,Male,7/4/21,22
Ziggy,Male,7/4/21,14
Alvin,Male,7/5/21,8
